"row_id","var_group","var","question"
0,"CanadaQ",NA,"How much do you agree or disagree with the following statements?"
1,"CanadaQ","CanadaQ_1",""
2,"CanadaQ","CanadaQ_1","Getting sick with the coronavirus/COVID-19 can be serious."
1,"CanadaQ","CanadaQ_2",""
2,"CanadaQ","CanadaQ_2","I will probably get sick with the coronavirus/COVID-19."
1,"CanadaQ","CanadaQ_3",""
2,"CanadaQ","CanadaQ_3","The coronavirus/COVID-19 will NOT affect very many people in the country I'm currently living in."
0,"COVIDeffect",NA,"To what extent have you been affected by the coronavirus/COVID-19 in the following ways?"
1,"COVIDeffect","COVIDeffect_1",""
2,"COVIDeffect","COVIDeffect_1","I have experienced financial difficulties as a result of the pandemic"
1,"COVIDeffect","COVIDeffect_2",""
2,"COVIDeffect","COVIDeffect_2","I have experienced social difficulties as a result of the pandemic"
1,"COVIDeffect","COVIDeffect_3",""
2,"COVIDeffect","COVIDeffect_3","I have experienced mental health difficulties as a result of the pandemic (e.g. increased anxiety)"
1,"COVIDeffect","COVIDeffect_4",""
2,"COVIDeffect","COVIDeffect_4","I have friends/family who have tested positive or died from the virus"
1,"COVIDexp","COVIDexp","Have you ever had, or thought you might have, the coronavirus/COVID-19?"
2,"COVIDexp","COVIDexp",""
0,"CultCog",NA,"People often disagree about how far to let individuals go in making decisions for themselves. How strongly do you agree or disagree with each of these statements?"
1,"CultCog","CultCog_1",""
2,"CultCog","CultCog_1","The government interferes far too much in our everyday lives."
1,"CultCog","CultCog_2",""
2,"CultCog","CultCog_2","Sometimes government needs to make laws that keep people from hurting themselves."
1,"CultCog","CultCog_3",""
2,"CultCog","CultCog_3","It's not the government's business to try to protect people from themselves."
1,"CultCog","CultCog_4",""
2,"CultCog","CultCog_4","The government should stop telling people how to live their lives."
1,"CultCog","CultCog_5",""
2,"CultCog","CultCog_5","The government should do more to advance society's goals, even if that means limiting the freedom and choices of individuals."
1,"CultCog","CultCog_6",""
2,"CultCog","CultCog_6","Government should put limits on the choices individuals can make so they don't get in the way of what's good for society."
1,"DemAge","DemAge","What is your age?"
2,"DemAge","DemAge",""
1,"DemEdu","DemEdu","Please indicate your highest educational qualification:"
2,"DemEdu","DemEdu",""
1,"DemGen","DemGen","What is your gender?"
2,"DemGen","DemGen",""
1,"DemHealthcare","DemHealthcare","Are you a healthcare provider (e.g. doctor, nurse, paramedic, pharmacist, carer)?"
2,"DemHealthcare","DemHealthcare",""
1,"EndDate","EndDate","End Date (GMT)"
2,"EndDate","EndDate",""
1,"Ethnic.min","Ethnic.min","Do you consider yourself to be part of a minority group within the country you are currently living in?"
2,"Ethnic.min","Ethnic.min",""
0,"FinitePool",NA,"How worried are you personally about the following issues at present?"
1,"FinitePool","FinitePool_1",""
2,"FinitePool","FinitePool_1","Climate change"
1,"FinitePool","FinitePool_2",""
2,"FinitePool","FinitePool_2","Coronavirus/COVID-19"
1,"FinitePool","FinitePool_3",""
2,"FinitePool","FinitePool_3","Political disagreement"
1,"FinitePool","FinitePool_4",""
2,"FinitePool","FinitePool_4","Immigration"
1,"FinitePool","FinitePool_5",""
2,"FinitePool","FinitePool_5","Unemployment"
1,"FinitePool","FinitePool_6",""
2,"FinitePool","FinitePool_6","Terrorism"
1,"FinitePool","FinitePool_7",""
2,"FinitePool","FinitePool_7","Air pollution"
1,"FinitePool","FinitePool_8",""
2,"FinitePool","FinitePool_8","Crime"
0,"Friends",NA,"How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months?"
1,"Friends","Friends_1",""
2,"Friends","Friends_1","Crime"
1,"Friends","Friends_2",""
2,"Friends","Friends_2","Financial problems"
1,"Friends","Friends_3",""
2,"Friends","Friends_3","Discrimination"
1,"Friends","Friends_4",""
2,"Friends","Friends_4","Indecent or antisocial behaviour by others"
1,"Friends","Friends_5",""
2,"Friends","Friends_5","Injustice"
1,"Friends","Friends_6",""
2,"Friends","Friends_6","Corruption or fraud"
1,"Friends","Friends_7",""
2,"Friends","Friends_7","Immigration"
1,"Friends","Friends_8",""
2,"Friends","Friends_8","Catching the coronavirus/COVID-19"
1,"GenSocTrust","GenSocTrust","Generally speaking, would you say most people can be trusted or that you can't be too careful in dealing with people?"
2,"GenSocTrust","GenSocTrust",""
0,"Govresponse",NA,"Please rate your answers to the following questions. Each rating should be in relation to the response in the country you are living in:"
1,"Govresponse","Govresponse_1",""
2,"Govresponse","Govresponse_1","How much do you feel you understand the government's strategy to deal with the coronavirus/COVID-19 pandemic?"
1,"Govresponse","Govresponse_2",""
2,"Govresponse","Govresponse_2","How much do you trust the country�s politicians to deal effectively with the pandemic?"
1,"Govresponse","Govresponse_3",""
2,"Govresponse","Govresponse_3","How much do you trust the country�s national scientific and medical advisors to know the best measures to take in the face of the pandemic?"
1,"Govresponse","Govresponse_4",""
2,"Govresponse","Govresponse_4","How much do you trust experts who are not connected with the government who are commenting on measures planned for the pandemic?"
1,"Govresponse","Govresponse_5",""
2,"Govresponse","Govresponse_5","How much do you trust the World Health Organisation to know the best measures to take in the face of the pandemic?"
1,"Govresponse","Govresponse_6",""
2,"Govresponse","Govresponse_6","How effective do you think the official response has been up until now in the country you are living in, in dealing with the pandemic?"
1,"Govresponse","Govresponse_7",""
2,"Govresponse","Govresponse_7","To what extent do you feel that the personal actions you are taking to try to limit the spread of coronavirus make a difference?"
1,"Govresponse","Govresponse_8",""
2,"Govresponse","Govresponse_8","To what extent do you feel the actions that your country is taking to limit the spread of coronavirus make a difference?"
1,"Govresponse","Govresponse_9",""
2,"Govresponse","Govresponse_9","How much do you feel you have enough information from the government to take the necessary actions to minimise your risk from coronavirus?"
0,"Govrestrict",NA,"What do you think of the planned response from the government in the country you are living in?"
1,"Govrestrict","Govrestrict_1",""
2,"Govrestrict","Govrestrict_1","I think the response in the past few weeks was..."
1,"Govrestrict","Govrestrict_2",""
2,"Govrestrict","Govrestrict_2","I think the planned response in the next few weeks is..."
1,"Govrestrict","Govrestrict_3",""
2,"Govrestrict","Govrestrict_3","I think the planned response for the next few months is..."
0,"MediaTrust",NA,"Thinking about the coronavirus/COVID-19 information that you received from each of the following sources, how much did you trust the information?"
1,"MediaTrust","FriendstrustQ1",""
2,"MediaTrust","FriendstrustQ1","...friends and family�"
1,"MediaTrust","govtrustQ1",""
2,"MediaTrust","govtrustQ1","government or official sources in the country you are living in"
1,"MediaTrust","journalisttrustQ1",""
2,"MediaTrust","journalisttrustQ1","journalists and commentators in the media"
1,"MediaTrust","PosterstrustQ1",""
2,"MediaTrust","PosterstrustQ1","official public posters"
1,"MediaTrust","SocialmediatrustQ1",""
2,"MediaTrust","SocialmediatrustQ1","social media"
1,"MediaTrust","WHOtrustQ1",""
2,"MediaTrust","WHOtrustQ1","World Health Organisation"
1,"MediaTrust","workplacetrustQ1",""
2,"MediaTrust","workplacetrustQ1","your place of work or education"
0,"KnowledgeCert",NA,"How certain or uncertain do you think the following are:"
1,"KnowledgeCert","KnowledgeCert_1",""
2,"KnowledgeCert","KnowledgeCert_1","The current scientific knowledge about the coronavirus/COVID-19?"
1,"KnowledgeCert","KnowledgeCert_2",""
2,"KnowledgeCert","KnowledgeCert_2","The estimates of the number of cases of coronavirus/COVID-19 worldwide"
0,"Longitude",NA,"Thinking back, how worried were you about coronavirus/COVID-19..."
1,"Longitude","Longitude_1",""
2,"Longitude","Longitude_1","� 1 week ago?"
1,"Longitude","Longitude_2",""
2,"Longitude","Longitude_2","�1 month ago?"
1,"Longitude","Longitude_3",""
2,"Longitude","Longitude_3","�2 months ago?"
0,"MediaExp",NA,"Have you come across information about coronavirus/COVID-19 from:"
1,"MediaExp","MediaExp_1",""
2,"MediaExp","MediaExp_1","Official public posters"
1,"MediaExp","MediaExp_2",""
2,"MediaExp","MediaExp_2","Social media or online blogs from individuals"
1,"MediaExp","MediaExp_3",""
2,"MediaExp","MediaExp_3","Journalists and commentators in the media (TV, radio, newspapers)"
1,"MediaExp","MediaExp_4",""
2,"MediaExp","MediaExp_4","Government or official sources such as websites or public speeches/broadcasts within the country you are living in"
1,"MediaExp","MediaExp_5",""
2,"MediaExp","MediaExp_5","Official messages from your place of work or education"
1,"MediaExp","MediaExp_6",""
2,"MediaExp","MediaExp_6","Friends and family"
1,"MediaExp","MediaExp_7",""
2,"MediaExp","MediaExp_7","World Health Organisation"
0,"Numeracy",NA,"Numeracy questions"
1,"Numeracy","Num1","Out of 1,000 people in a small town 500 are members of a choir. Out of these 500 members in the choir 100 are men. Out of the 500 inhabitants that are not in the choir 300 are men. What is the probability that a randomly drawn man is a member of the choir? Please indicate the probability in percent. ____ %"
2,"Numeracy","Num1",""
1,"Numeracy","Num2a","Imagine we are throwing a five-sided die 50 times. On average, out of these 50 throws how many times would this five-sided die show an odd number (1, 3 or 5)? ____ out of 50 throws."
2,"Numeracy","Num2a",""
1,"Numeracy","Num2b","Imagine we are throwing a loaded die (6 sides) 70 times. The probability that the die shows a 6 is twice as high as the probability of each of the other numbers. On average, out of these 70 throws how many times would the die show the number 6? ____ out of 70 throws."
2,"Numeracy","Num2b",""
1,"Numeracy","Num3","In a forest 20% of mushrooms are red, 50% brown and 30% white. A red mushroom is poisonous with a probability of 20%. A mushroom that is not red is poisonous with a probability of 5%. What is the probability that a poisonous mushroom in the forest is red? ____ %"
2,"Numeracy","Num3",""
1,"Numeracy","NumeracyQ1","Which represents the highest risk of something happening?"
2,"Numeracy","NumeracyQ1",""
0,"Personal",NA,"How likely do you think it is that you will be directly and personally affected by the following in the next 6 months?"
1,"Personal","Personal_1",""
2,"Personal","Personal_1","Crime"
1,"Personal","Personal_2",""
2,"Personal","Personal_2","Financial problems"
1,"Personal","Personal_3",""
2,"Personal","Personal_3","Discrimination"
1,"Personal","Personal_4",""
2,"Personal","Personal_4","Indecent or antisocial behaviour by others"
1,"Personal","Personal_5",""
2,"Personal","Personal_5","Injustice"
1,"Personal","Personal_6",""
2,"Personal","Personal_6","Corruption or fraud"
1,"Personal","Personal_7",""
2,"Personal","Personal_7","Immigration"
1,"Personal","Personal_8",""
2,"Personal","Personal_8","Catching the coronavirus/COVID-19"
1,"Politics","Politics","Where do you feel your political views lie on a spectrum of left wing (or liberal) to right wing (or conservative)?"
2,"Politics","Politics",""
1,"prep","prep","Which of the following steps, if any, have you taken in the last month to prepare for the possibility of many cases of the coronavirus/COVID-19 in your community? Select all that apply."
2,"prep","prep",""
1,"prosocial","prosocial","To what extent do you think it�s important to do things for the benefit of others and society even if they have some costs to you personally?"
2,"prosocial","prosocial",""
1,"quota_age","quota_age","What is your age?"
2,"quota_age","quota_age",""
1,"Residency","Residency","In which country do you currently live?"
2,"Residency","Residency",""
1,"SARS","SARS","Have you personally been affected by a previous similar epidemic, such as SARS (Severe Acute Respiratory Syndrome), MERS (Middle East Respiratory Syndrome) or Ebola?"
2,"SARS","SARS",""
1,"Sciunderstand","Sciunderstand","To what extent do you think scientists have a good understanding of the coronavirus/COVID-19?"
2,"Sciunderstand","Sciunderstand",""
1,"Soughtinfo","Soughtinfo","Have you sought out information specifically about coronavirus/COVID-19?"
2,"Soughtinfo","Soughtinfo",""
0,"Trustingroups",NA,"How much do you trust each of the following?"
1,"Trustingroups","Trustingroups_1",""
2,"Trustingroups","Trustingroups_1","People in your family"
1,"Trustingroups","Trustingroups_10",""
2,"Trustingroups","Trustingroups_10","Journalists"
1,"Trustingroups","Trustingroups_11",""
2,"Trustingroups","Trustingroups_11","The current government of the country you are living in"
1,"Trustingroups","Trustingroups_12",""
2,"Trustingroups","Trustingroups_12","Scientific knowledge"
1,"Trustingroups","Trustingroups_13",""
2,"Trustingroups","Trustingroups_13","Civil servants or public officials in the country you are living in"
1,"Trustingroups","Trustingroups_2",""
2,"Trustingroups","Trustingroups_2","People in your neighbourhood"
1,"Trustingroups","Trustingroups_3",""
2,"Trustingroups","Trustingroups_3","People you work or study with"
1,"Trustingroups","Trustingroups_4",""
2,"Trustingroups","Trustingroups_4","People who speak a different language from you"
1,"Trustingroups","Trustingroups_5",""
2,"Trustingroups","Trustingroups_5","Strangers"
1,"Trustingroups","Trustingroups_6",""
2,"Trustingroups","Trustingroups_6","Immigrants"
1,"Trustingroups","Trustingroups_7",""
2,"Trustingroups","Trustingroups_7","Medical doctors and nurses"
1,"Trustingroups","Trustingroups_8",""
2,"Trustingroups","Trustingroups_8","Scientists"
1,"Trustingroups","Trustingroups_9",""
2,"Trustingroups","Trustingroups_9","Politicians in the country you are living in"
0,"Vaccine",NA,"If a vaccine were to be available for the coronavirus/COVID-19 now:"
1,"Vaccine","Vaccine_1",""
2,"Vaccine","Vaccine_1","Would you get vaccinated yourself?"
1,"Vaccine","Vaccine_2",""
2,"Vaccine","Vaccine_2","Would you recommend vulnerable friends/family to get vaccinated?"
